National Health Expenditure (NHE) Amounts by Type of Expenditure and Source of Funds: Calendar Years 1960-2026 in PROJECTIONS format,,,,,,,,,,,
The projections are based on the 2016 version of the NHE released in December 2017.,,,,,,,,,,,
,,,,,,,,,,,
LEVELS in $Millions,,,,,,,,,,,
First projected year is 2017,,,,,,,,,,,
,,,,,,,,,,,
CATEGORY,Projections_Vintage,Historical_or_Projected_Data,YEAR,TOTAL,OUT_OF_POCKET,TOTAL_HEALTH_INSURANCE,PRIVATE_HEALTH_INSURANCE,MEDICARE,MEDICAID,OTHER_HEALTH_INSURANCE,OTHER_THIRD_PARTY
National Health Expenditures,02/14/2018,Historical,Y1960,27214,12949,7497,5812,0,0,1685,6768
National Health Expenditures,02/14/2018,Historical,Y1961,29138,13357,8236,6468,0,0,1768,7545
National Health Expenditures,02/14/2018,Historical,Y1962,31842,14255,8999,7178,0,0,1822,8587
National Health Expenditures,02/14/2018,Historical,Y1963,34595,15311,9892,7952,0,0,1940,9392
National Health Expenditures,02/14/2018,Historical,Y1964,38394,16928,10971,9052,0,0,1919,10495
National Health Expenditures,02/14/2018,Historical,Y1965,41852,18209,12023,10072,0,0,1951,11621
National Health Expenditures,02/14/2018,Historical,Y1966,46081,18594,15673,10296,1842,1304,2231,11814
National Health Expenditures,02/14/2018,Historical,Y1967,51565,18537,21109,10452,4924,3141,2592,11920
National Health Expenditures,02/14/2018,Historical,Y1968,58402,20500,24379,11830,6218,3541,2789,13524
National Health Expenditures,02/14/2018,Historical,Y1969,65923,22601,27565,13363,7045,4174,2983,15757
National Health Expenditures,02/14/2018,Historical,Y1970,74563,24953,31763,15499,7672,5290,3302,17846
National Health Expenditures,02/14/2018,Historical,Y1971,82728,26312,36727,17840,8443,6695,3749,19688
National Health Expenditures,02/14/2018,Historical,Y1972,92657,28646,42617,20690,9325,8314,4288,21395
National Health Expenditures,02/14/2018,Historical,Y1973,102809,31625,48027,22994,10730,9423,4880,23158
National Health Expenditures,02/14/2018,Historical,Y1974,116545,34373,55956,26080,13428,11073,5375,26216
National Health Expenditures,02/14/2018,Historical,Y1975,133283,37262,66330,30578,16336,13446,5970,29691
National Health Expenditures,02/14/2018,Historical,Y1976,152742,40647,79068,37425,19694,15188,6761,33027
National Health Expenditures,02/14/2018,Historical,Y1977,173850,44853,93115,45692,22891,17464,7068,35882
National Health Expenditures,02/14/2018,Historical,Y1978,195332,48016,106582,52523,26668,19465,7927,40733
National Health Expenditures,02/14/2018,Historical,Y1979,221528,52312,122739,60955,30922,22332,8531,46477
National Health Expenditures,02/14/2018,Historical,Y1980,255331,58146,142333,69225,37387,26032,9689,54852
National Health Expenditures,02/14/2018,Historical,Y1981,296155,65355,167730,81804,44769,30307,10849,63070
National Health Expenditures,02/14/2018,Historical,Y1982,334044,72450,190651,94227,52351,32011,12063,70944
National Health Expenditures,02/14/2018,Historical,Y1983,367809,78619,212741,105128,59559,35266,12789,76448
National Health Expenditures,02/14/2018,Historical,Y1984,404995,86500,237405,119053,66207,38233,13912,81090
National Health Expenditures,02/14/2018,Historical,Y1985,442900,95640,259273,131311,71829,40937,15196,87987
National Health Expenditures,02/14/2018,Historical,Y1986,474686,103610,274699,136077,76829,45383,16409,96377
National Health Expenditures,02/14/2018,Historical,Y1987,516520,109652,300035,149177,83081,50339,17438,106834
National Health Expenditures,02/14/2018,Historical,Y1988,579278,120217,338282,175829,88965,55080,18408,120778
National Health Expenditures,02/14/2018,Historical,Y1989,644770,126651,387271,204775,101137,61952,19407,130848
National Health Expenditures,02/14/2018,Historical,Y1990,721393,137882,439113,233885,110182,73661,21385,144398
National Health Expenditures,02/14/2018,Historical,Y1991,788062,140815,492308,255092,120617,93211,23389,154940
National Health Expenditures,02/14/2018,Historical,Y1992,854068,143178,543122,274725,135996,108186,24215,167767
National Health Expenditures,02/14/2018,Historical,Y1993,916581,144098,593278,295294,149965,122373,25645,179205
National Health Expenditures,02/14/2018,Historical,Y1994,967219,142035,636746,308218,167670,134414,26444,188438
National Health Expenditures,02/14/2018,Historical,Y1995,1021635,144816,681480,325339,184393,144862,26885,195339
National Health Expenditures,02/14/2018,Historical,Y1996,1074409,150354,722124,343686,198750,152170,27518,201932
National Health Expenditures,02/14/2018,Historical,Y1997,1135224,161370,758320,359553,210376,160849,27541,215535
National Health Expenditures,02/14/2018,Historical,Y1998,1201451,176812,792102,384738,209420,169011,28933,232537
National Health Expenditures,02/14/2018,Historical,Y1999,1277700,187575,845592,417078,213173,183455,31886,244533
National Health Expenditures,02/14/2018,Historical,Y2000,1369125,198886,918957,457978,224829,200345,35804,251282
National Health Expenditures,02/14/2018,Historical,Y2001,1486158,206200,1014390,501939,247686,224092,40673,265568
National Health Expenditures,02/14/2018,Historical,Y2002,1628624,219273,1121517,560963,265381,248050,47123,287834
National Health Expenditures,02/14/2018,Historical,Y2003,1767567,235635,1221745,615138,282668,268903,55037,310186
National Health Expenditures,02/14/2018,Historical,Y2004,1895724,248494,1320086,658268,311122,290679,60016,327144
National Health Expenditures,02/14/2018,Historical,Y2005,2023744,263815,1414078,701176,339762,309275,63865,345851
National Health Expenditures,02/14/2018,Historical,Y2006,2156158,273254,1517387,737122,403690,306584,69991,365517
National Health Expenditures,02/14/2018,Historical,Y2007,2295307,290000,1609250,776176,432751,325746,74577,396056
National Health Expenditures,02/14/2018,Historical,Y2008,2399121,295184,1695968,802857,466971,344214,81927,407969
National Health Expenditures,02/14/2018,Historical,Y2009,2495414,293723,1796424,832906,498859,374421,90238,405267
National Health Expenditures,02/14/2018,Historical,Y2010,2598823,299742,1876922,864344,519787,397226,95565,422159
National Health Expenditures,02/14/2018,Historical,Y2011,2689349,309973,1950187,898631,544679,406744,100133,429189
National Health Expenditures,02/14/2018,Historical,Y2012,2797260,318330,2022904,928211,569634,422688,102371,456025
National Health Expenditures,02/14/2018,Historical,Y2013,2879008,325189,2087804,946398,590163,445361,105883,466014
National Health Expenditures,02/14/2018,Historical,Y2014,3026157,330068,2228136,999940,618889,496645,112662,467953
National Health Expenditures,02/14/2018,Historical,Y2015,3200815,339315,2382770,1068778,648808,544073,121111,478731
National Health Expenditures,02/14/2018,Historical,Y2016,3337248,352537,2486842,1123372,672093,565550,125828,497868
National Health Expenditures,02/14/2018,Projected,Y2017," 3,489,224 ",365316,2607270,1186617,705800,582044,132810,516638
National Health Expenditures,02/14/2018,Projected,Y2018,3675337,379763,2755249,1244085,748068,621999,141097,540325
National Health Expenditures,02/14/2018,Projected,Y2019,3867560,398250,2898937,1285978,807601,656290,149069,570373
National Health Expenditures,02/14/2018,Projected,Y2020,4090934,417257,3075608,1348801,873095,696421,157291,598068
National Health Expenditures,02/14/2018,Projected,Y2021,4321981,436674,3258265,1410940,942552,738380,166393,627042
National Health Expenditures,02/14/2018,Projected,Y2022,4561812,459219,3446264,1472930,1015662,782411,175261,656329
National Health Expenditures,02/14/2018,Projected,Y2023,4818474,482005,3649397,1544375,1092539,828299,184184,687072
National Health Expenditures,02/14/2018,Projected,Y2024,5090855,505978,3865952,1619843,1175880,876973,193256,718925
National Health Expenditures,02/14/2018,Projected,Y2025,5369758,530712,4086227,1697666,1253003,932751,202808,752820
National Health Expenditures,02/14/2018,Projected,Y2026,5696239,555336,4351928,1775954,1366042,996175,213757,788974
Health Consumption Expenditures,02/14/2018,Historical,Y1960,24706,12949,7497,5812,0,0,1685,4260
Health Consumption Expenditures,02/14/2018,Historical,Y1961,26332,13357,8236,6468,0,0,1768,4738
Health Consumption Expenditures,02/14/2018,Historical,Y1962,28414,14255,8999,7178,0,0,1822,5159
Health Consumption Expenditures,02/14/2018,Historical,Y1963,30918,15311,9892,7952,0,0,1940,5715
Health Consumption Expenditures,02/14/2018,Historical,Y1964,34130,16928,10971,9052,0,0,1919,6231
Health Consumption Expenditures,02/14/2018,Historical,Y1965,37186,18209,12023,10072,0,0,1951,6955
Health Consumption Expenditures,02/14/2018,Historical,Y1966,41227,18594,15673,10296,1842,1304,2231,6959
Health Consumption Expenditures,02/14/2018,Historical,Y1967,46502,18537,21109,10452,4924,3141,2592,6857
Health Consumption Expenditures,02/14/2018,Historical,Y1968,52689,20500,24379,11830,6218,3541,2789,7811
Health Consumption Expenditures,02/14/2018,Historical,Y1969,59097,22601,27565,13363,7045,4174,2983,8931
Health Consumption Expenditures,02/14/2018,Historical,Y1970,67046,24953,31763,15499,7672,5290,3302,10330
Health Consumption Expenditures,02/14/2018,Historical,Y1971,74339,26312,36727,17840,8443,6695,3749,11300
Health Consumption Expenditures,02/14/2018,Historical,Y1972,83350,28646,42617,20690,9325,8314,4288,12087
Health Consumption Expenditures,02/14/2018,Historical,Y1973,93092,31625,48027,22994,10730,9423,4880,13440
Health Consumption Expenditures,02/14/2018,Historical,Y1974,105884,34373,55956,26080,13428,11073,5375,15555
Health Consumption Expenditures,02/14/2018,Historical,Y1975,121106,37262,66330,30578,16336,13446,5970,17514
Health Consumption Expenditures,02/14/2018,Historical,Y1976,139293,40647,79068,37425,19694,15188,6761,19578
Health Consumption Expenditures,02/14/2018,Historical,Y1977,159946,44853,93115,45692,22891,17464,7068,21978
Health Consumption Expenditures,02/14/2018,Historical,Y1978,180046,48016,106582,52523,26668,19465,7927,25448
Health Consumption Expenditures,02/14/2018,Historical,Y1979,204567,52312,122739,60955,30922,22332,8531,29516
