"category","hist_proj","year","use_cat","fund_type","amount"
"National_Health","Historical",1960,"N","total",27214
"National_Health","Historical",1961,"N","total",29138
"National_Health","Historical",1962,"N","total",31842
"National_Health","Historical",1963,"N","total",34595
"National_Health","Historical",1964,"N","total",38394
"National_Health","Historical",1965,"N","total",41852
"National_Health","Historical",1966,"N","total",46081
"National_Health","Historical",1967,"N","total",51565
"National_Health","Historical",1968,"N","total",58402
"National_Health","Historical",1969,"N","total",65923
"National_Health","Historical",1970,"N","total",74563
"National_Health","Historical",1971,"N","total",82728
"National_Health","Historical",1972,"N","total",92657
"National_Health","Historical",1973,"N","total",102809
"National_Health","Historical",1974,"N","total",116545
"National_Health","Historical",1975,"N","total",133283
"National_Health","Historical",1976,"N","total",152742
"National_Health","Historical",1977,"N","total",173850
"National_Health","Historical",1978,"N","total",195332
"National_Health","Historical",1979,"N","total",221528
"National_Health","Historical",1980,"N","total",255331
"National_Health","Historical",1981,"N","total",296155
"National_Health","Historical",1982,"N","total",334044
"National_Health","Historical",1983,"N","total",367809
"National_Health","Historical",1984,"N","total",404995
"National_Health","Historical",1985,"N","total",442900
"National_Health","Historical",1986,"N","total",474686
"National_Health","Historical",1987,"N","total",516520
"National_Health","Historical",1988,"N","total",579278
"National_Health","Historical",1989,"N","total",644770
"National_Health","Historical",1990,"N","total",721393
"National_Health","Historical",1991,"N","total",788062
"National_Health","Historical",1992,"N","total",854068
"National_Health","Historical",1993,"N","total",916581
"National_Health","Historical",1994,"N","total",967219
"National_Health","Historical",1995,"N","total",1021635
"National_Health","Historical",1996,"N","total",1074409
"National_Health","Historical",1997,"N","total",1135224
"National_Health","Historical",1998,"N","total",1201451
"National_Health","Historical",1999,"N","total",1277700
"National_Health","Historical",2000,"N","total",1369125
"National_Health","Historical",2001,"N","total",1486158
"National_Health","Historical",2002,"N","total",1628624
"National_Health","Historical",2003,"N","total",1767567
"National_Health","Historical",2004,"N","total",1895724
"National_Health","Historical",2005,"N","total",2023744
