"category","region","state","year","amount"
"Personal_Health_Care","Southeast","Alabama",1991,10393
"Personal_Health_Care","Far West","Alaska",1991,1458
"Personal_Health_Care","Southwest","Arizona",1991,9269
"Personal_Health_Care","Southeast","Arkansas",1991,5632
"Personal_Health_Care","Far West","California",1991,81438
"Personal_Health_Care","Rocky Mountains","Colorado",1991,8460
"Personal_Health_Care","New England","Connecticut",1991,10950
"Personal_Health_Care","Mideast","Delaware",1991,1938
"Personal_Health_Care","Mideast","District of Columbia",1991,2800
"Personal_Health_Care","Southeast","Florida",1991,39430
"Personal_Health_Care","Southeast","Georgia",1991,16612
"Personal_Health_Care","Far West","Hawaii",1991,2959
"Personal_Health_Care","Rocky Mountains","Idaho",1991,2213
"Personal_Health_Care","Great Lakes","Illinois",1991,31577
"Personal_Health_Care","Great Lakes","Indiana",1991,14272
"Personal_Health_Care","Plains","Iowa",1991,7248
"Personal_Health_Care","Plains","Kansas",1991,6529
"Personal_Health_Care","Southeast","Kentucky",1991,8877
"Personal_Health_Care","Southeast","Louisiana",1991,11259
"Personal_Health_Care","New England","Maine",1991,3152
"Personal_Health_Care","Mideast","Maryland",1991,13560
"Personal_Health_Care","New England","Massachusetts",1991,20015
"Personal_Health_Care","Great Lakes","Michigan",1991,25038
"Personal_Health_Care","Plains","Minnesota",1991,11981
"Personal_Health_Care","Southeast","Mississippi",1991,5650
"Personal_Health_Care","Plains","Missouri",1991,13012
"Personal_Health_Care","Rocky Mountains","Montana",1991,1907
"Personal_Health_Care","Plains","Nebraska",1991,3790
"Personal_Health_Care","Far West","Nevada",1991,3086
"Personal_Health_Care","New England","New Hampshire",1991,2727
"Personal_Health_Care","Mideast","New Jersey",1991,23100
"Personal_Health_Care","Southwest","New Mexico",1991,3483
"Personal_Health_Care","Mideast","New York",1991,58080
"Personal_Health_Care","Southeast","North Carolina",1991,15352
"Personal_Health_Care","Plains","North Dakota",1991,1709
"Personal_Health_Care","Great Lakes","Ohio",1991,29348
"Personal_Health_Care","Southwest","Oklahoma",1991,7512
"Personal_Health_Care","Far West","Oregon",1991,6760
"Personal_Health_Care","Mideast","Pennsylvania",1991,36171
"Personal_Health_Care","New England","Rhode Island",1991,2967
"Personal_Health_Care","Southeast","South Carolina",1991,8075
"Personal_Health_Care","Plains","South Dakota",1991,1707
"Personal_Health_Care","Southeast","Tennessee",1991,12692
"Personal_Health_Care","Southwest","Texas",1991,40967
"Personal_Health_Care","Rocky Mountains","Utah",1991,3522
"Personal_Health_Care","New England","Vermont",1991,1330
"Personal_Health_Care","Southeast","Virginia",1991,14829
"Personal_Health_Care","Far West","Washington",1991,12674
"Personal_Health_Care","Southeast","West Virginia",1991,4672
"Personal_Health_Care","Great Lakes","Wisconsin",1991,12694
"Personal_Health_Care","Rocky Mountains","Wyoming",1991,1023
"Hospital_Care","Southeast","Alabama",1991,4476
"Hospital_Care","Far West","Alaska",1991,630
"Hospital_Care","Southwest","Arizona",1991,3416
"Hospital_Care","Southeast","Arkansas",1991,2402
"Hospital_Care","Far West","California",1991,29897
"Hospital_Care","Rocky Mountains","Colorado",1991,3264
"Hospital_Care","New England","Connecticut",1991,3892
"Hospital_Care","Mideast","Delaware",1991,796
"Hospital_Care","Mideast","District of Columbia",1991,1450
"Hospital_Care","Southeast","Florida",1991,14827
