"category","region","state","year","amount"
"Personal_Health_Care","Southeast","Alabama",1991,2535
"Personal_Health_Care","Far West","Alaska",1991,2558
"Personal_Health_Care","Southwest","Arizona",1991,2447
"Personal_Health_Care","Southeast","Arkansas",1991,2363
"Personal_Health_Care","Far West","California",1991,2673
"Personal_Health_Care","Rocky Mountains","Colorado",1991,2498
"Personal_Health_Care","New England","Connecticut",1991,3315
"Personal_Health_Care","Mideast","Delaware",1991,2837
"Personal_Health_Care","Mideast","District of Columbia",1991,4660
"Personal_Health_Care","Southeast","Florida",1991,2949
"Personal_Health_Care","Southeast","Georgia",1991,2497
"Personal_Health_Care","Far West","Hawaii",1991,2603
"Personal_Health_Care","Rocky Mountains","Idaho",1991,2125
"Personal_Health_Care","Great Lakes","Illinois",1991,2729
"Personal_Health_Care","Great Lakes","Indiana",1991,2541
"Personal_Health_Care","Plains","Iowa",1991,2591
"Personal_Health_Care","Plains","Kansas",1991,2613
"Personal_Health_Care","Southeast","Kentucky",1991,2385
"Personal_Health_Care","Southeast","Louisiana",1991,2647
"Personal_Health_Care","New England","Maine",1991,2548
"Personal_Health_Care","Mideast","Maryland",1991,2786
"Personal_Health_Care","New England","Massachusetts",1991,3326
"Personal_Health_Care","Great Lakes","Michigan",1991,2663
"Personal_Health_Care","Plains","Minnesota",1991,2698
"Personal_Health_Care","Southeast","Mississippi",1991,2174
"Personal_Health_Care","Plains","Missouri",1991,2516
"Personal_Health_Care","Rocky Mountains","Montana",1991,2355
"Personal_Health_Care","Plains","Nebraska",1991,2375
"Personal_Health_Care","Far West","Nevada",1991,2381
"Personal_Health_Care","New England","New Hampshire",1991,2457
"Personal_Health_Care","Mideast","New Jersey",1991,2956
"Personal_Health_Care","Southwest","New Mexico",1991,2240
"Personal_Health_Care","Mideast","New York",1991,3205
"Personal_Health_Care","Southeast","North Carolina",1991,2263
"Personal_Health_Care","Plains","North Dakota",1991,2688
"Personal_Health_Care","Great Lakes","Ohio",1991,2681
"Personal_Health_Care","Southwest","Oklahoma",1991,2366
"Personal_Health_Care","Far West","Oregon",1991,2308
"Personal_Health_Care","Mideast","Pennsylvania",1991,3019
"Personal_Health_Care","New England","Rhode Island",1991,2936
