"category","region","state","year","amount"
"Population_(Thousands)","Southeast","Alabama",1991,4099
"Population_(Thousands)","Far West","Alaska",1991,570
"Population_(Thousands)","Southwest","Arizona",1991,3789
"Population_(Thousands)","Southeast","Arkansas",1991,2383
"Population_(Thousands)","Far West","California",1991,30471
"Population_(Thousands)","Rocky Mountains","Colorado",1991,3387
"Population_(Thousands)","New England","Connecticut",1991,3303
"Population_(Thousands)","Mideast","Delaware",1991,683
"Population_(Thousands)","Mideast","District of Columbia",1991,601
"Population_(Thousands)","Southeast","Florida",1991,13370
"Population_(Thousands)","Southeast","Georgia",1991,6653
"Population_(Thousands)","Far West","Hawaii",1991,1137
"Population_(Thousands)","Rocky Mountains","Idaho",1991,1041
"Population_(Thousands)","Great Lakes","Illinois",1991,11569
"Population_(Thousands)","Great Lakes","Indiana",1991,5616
"Population_(Thousands)","Plains","Iowa",1991,2798
"Population_(Thousands)","Plains","Kansas",1991,2499
"Population_(Thousands)","Southeast","Kentucky",1991,3722
"Population_(Thousands)","Southeast","Louisiana",1991,4253
"Population_(Thousands)","New England","Maine",1991,1237
"Population_(Thousands)","Mideast","Maryland",1991,4868
"Population_(Thousands)","New England","Massachusetts",1991,6018
"Population_(Thousands)","Great Lakes","Michigan",1991,9400
"Population_(Thousands)","Plains","Minnesota",1991,4441
"Population_(Thousands)","Southeast","Mississippi",1991,2599
"Population_(Thousands)","Plains","Missouri",1991,5171
"Population_(Thousands)","Rocky Mountains","Montana",1991,810
"Population_(Thousands)","Plains","Nebraska",1991,1596
"Population_(Thousands)","Far West","Nevada",1991,1296
"Population_(Thousands)","New England","New Hampshire",1991,1110
"Population_(Thousands)","Mideast","New Jersey",1991,7815
"Population_(Thousands)","Southwest","New Mexico",1991,1555
"Population_(Thousands)","Mideast","New York",1991,18123
"Population_(Thousands)","Southeast","North Carolina",1991,6784
"Population_(Thousands)","Plains","North Dakota",1991,636
"Population_(Thousands)","Great Lakes","Ohio",1991,10946
"Population_(Thousands)","Southwest","Oklahoma",1991,3175
"Population_(Thousands)","Far West","Oregon",1991,2929
"Population_(Thousands)","Mideast","Pennsylvania",1991,11982
"Population_(Thousands)","New England","Rhode Island",1991,1011
"Population_(Thousands)","Southeast","South Carolina",1991,3570
"Population_(Thousands)","Plains","South Dakota",1991,704
"Population_(Thousands)","Southeast","Tennessee",1991,4967
"Population_(Thousands)","Southwest","Texas",1991,17398
"Population_(Thousands)","Rocky Mountains","Utah",1991,1780
"Population_(Thousands)","New England","Vermont",1991,569
"Population_(Thousands)","Southeast","Virginia",1991,6301
"Population_(Thousands)","Far West","Washington",1991,5026
"Population_(Thousands)","Southeast","West Virginia",1991,1799
"Population_(Thousands)","Great Lakes","Wisconsin",1991,4964
"Population_(Thousands)","Rocky Mountains","Wyoming",1991,459
"Population_(Thousands)","Southeast","Alabama",1992,4154
"Population_(Thousands)","Far West","Alaska",1992,589
"Population_(Thousands)","Southwest","Arizona",1992,3916
"Population_(Thousands)","Southeast","Arkansas",1992,2416
"Population_(Thousands)","Far West","California",1992,30975
"Population_(Thousands)","Rocky Mountains","Colorado",1992,3496
"Population_(Thousands)","New England","Connecticut",1992,3301
"Population_(Thousands)","Mideast","Delaware",1992,695
"Population_(Thousands)","Mideast","District of Columbia",1992,598
